Item Identifier;Activity sector;Description
ABT;Study;ALSTOM TRANSPORT CHARLEROI
AFI;Study;Alstom France / India
ALG;Infra;Alstom Algeria System & Infra – Algiers
ARE;Infra;Alstom - United Arab Emirates - System and Infra
ARS;Study;AUSTRALIA RAILWAY SIGNALLING (Organisation TIS)
ASM;Service;Australia - Sydney Metro
ATA;Study;ATA : ALSTOM TIS AIX
ATE;Service;ATEINSA Maintenance Contracts in Republica Dominicana
ATS_UK;Study;Unit for ATS users in UK (UK BP & GIS ?)
AUR;Study;Rolling Stock Australia
AUS;Infra;Alstom Transport - Australia - System and Infra (TGS)
AZB;Service;Azerbaidjan (Services)
BAS;Service;Ballarat Services
BCN;Study;ALSTOM TRANSPORT BARCELONE
BGL;Study;ALSTOM TRANSPORT BANGALORE (Rolling Stock)
BLI;Infra;APAC System & Infra - central CLAMP requesters team in Bangalore
BLO;Study;ALSTOM TRANSPORT BANGALORE
BLR;Study;ALSTOM TRANSPORT BANGALORE (Rolling Stock)
BPA;Study;ALSTOM TRANSPORT SAO-PAULO (Organisation TIS)
BPL;Study;ALSTOM TRANSPORT BRAZIL (Rolling Stock)
BRA;Infra;Alstom Transport Brazil (System and Infra) TGS
BTR;Study;Bombardier Transportation
BUD;Service;TLS & C/W IN BUDAPEST
BUE;Study;Signalling Argentina
CAO;Study;CAO TIS (interface Clamp - CAO)
CCA;Study;Changchun ALSTOM office
CHN;Infra;Alstom Transport - China - System and Infra (TGS)
CHS;Service;China (Services)
CIM;Study;ALSTOM TRANSPORT PETITE-FORET
CJB;Study;ALSTOM Coimbatore (Components)
CMF;Study;ALSTOM TRANSPORT MEUDON
CSH;Study;Shanghai ALSTOM office
CSY;Infra;ALSTOM TRANSPORT RUEIL TGS
CUS;Study;Components US
CYT;Study;Cyent  (Bombardier Transportation )
DMA;Study;DMA - UNIT for Parts Published by DMA.
DNK;Study;Denmark & Norway
DTR;Study;ALSTOM DIVISION TRANSPORT
DUS;Service;US Service - Acela Depots
EES;Study;ALSTOM TRANSPORT VILLEURBANNE
EGI;Study;Alstom  Egypt Signaling Business
EGY;Infra;Alstom - Egypt - System and Infra
EIT;Infra;ALSTOM TRANSPORT ROME
ELE;Study;CENTRE D'EXELENCE ELECTRIQUE (SITE GENERIQUE RS POUR NEO)
ELS;Service;E-loco Services India
ENL;Service;ALSTOM TRANSPORT RIDDERKERK
EP2;Infra;Bangalore Metro EP2 CC – 3rd Rail Project
ESP;Study;ELECTRICAL STANDARD PROCESS - FILTER FOR ELECTRICAL CATALOG
ETC;Study;ETCS project - Tel Aviv
EV6;Study;EV6 - New PLM EV6
FBO;Study;ALSTOM TRANSPORT LE CREUSOT
FEZ;Study;Cabliance Fès (Rolling Stock)
FFABT;Study;Feu-Fumée site de Charleroi
FFBCN;Study;Feu-Fumée site de Barcelone
FFBPA;Study;Feu-Fumée site de Sao-Paulo
FFEES;Study;Feu-Fumee site de Villeurbannes
FFFBO;Study;Feu-Fumée site du Creusot
FFFLO;Study;Feu-Fumée site de Belfort
FFLHB;Study;Feu-Fumée site de Salzgitter
FFOMG;Study;Feu-Fumée site de St Ouen
FFREI;Study;Feu-Fumée site de Reichshoffen
FFSAV;Study;Feu-Fumée site de Savigliano
FFSES;Study;Feu-Fumee site of Sesto
FFTRA;Study;Feu-Fumée site de Aytré
FFTRO;Study;Feu-Fumée site d'Ornans
FFTRT;Study;Feu-Fumée site de Tarbes
FFTUS;Study;Feu-Fumée site d'Hornell
FFVPF;Study;Feu-Fumée site de Valenciennes
FLO;Study;ALSTOM TRANSPORT BELFORT
FLR;Service;Service Signaling Firenze
FRA;Infra;Alstom Transport - France - System and Infra (TGS)
FSE;Study;France Services
FST;Study;Fake site to enable the copy of DMA interface files in a directory in order to be sent to FastTrack
FUS;Service;US Service - SFMTA
GIB;Service;Gibela South African
GIV;Study;Grain Valley Signalling Industrial
GRC;Infra;Alstom Transport Greece - Engineering System and Infra (TGS)
GSI;Service;UNIT FOR CLAMP TO GSI INTERFACE
HAN;Infra;Service & Infra Hanoi
HFA;Service;Haifa (Services)
HGB;Study;ALSTOM APTIS
HKG;Infra;Alstom-Region APAC-Hong Kong-System and Infra
HKI;Study;Alstom Transport Hong Kong (TIS Organisation)
HOH;Service;HVAC reduced hours
HST;Study;High Speed Trains Platform
HUS;Service;US Service - NAM Hubs
IFF;Service;ALSTOM TRANSPORT MAINT. INFRA. FRANCE
IFS;Service;ALSTOM TRANSPORT MAINT. INFRA. ESPAGNE
ILI;Study;Israel Information Solution (Signalling Business)
IND;Infra;Alstom - Region APAC - India - System and Infra
IRV;Service;French / Spanish IRVIA joint venture
ITA;Infra;Alstom Transport Italy - Engineering System and Infra (TGS)
JNM;Infra;APAC System & Infra – Jaipur and Mumbai projects
JRI;Service;Jerusalem - Infra / Civil Services
JRR;Service;Jerusalem - RS Services
KOC;Infra;Alstom System and Infra – India -Kochi
KRI;Study;Alstom Transport South Korea (TIS Organisation)
KSA;Infra;Alstom - Kingdom of Saudi Arabia - System and Infra
LCO;Infra;Alstom - Lecco
LHB;Study;Salzgitter - Rolling Stock & Components
LIM;Service;Service Peru
LIN;Study;Infotech India
LLE;Service;Lille Service : GSI TLS
LON;Service;London – Morden TC & Golders green
MAA;Infra;Alstom System and Infra – India - Chennai
MAD;Infra;Alstom Spain System & Infra
MDH;Study;ALTSOM Transport Madhepur (Rolling Stock)
MEA;Service;Middle East & Africa Region unit
