Attribute ID,Attribute Name,Family Classification information,Family Classification - Family Classification ID,Mandatory Attribute,UoM,Attribute Data Type information,Attribute Data Type - Attribute Type ID,Created by,Created,Updated by,Last Updated
105303 j4i02949,THERMAL RESISTANCE,HEAT SINKS/HEAT DISSIPATORS,105303,No,°C/W,2 - Decimal,2,,,,
105328 j4i02949,THERMAL RESISTANCE,THERMAL SHEET INSULATORS,105328,No,°C/W,2 - Decimal,2,,,,
105329 j4i02949,THERMAL RESISTANCE,ELECTRO-THERMAL SHEET INSULATORS,105329,No,°C/W,2 - Decimal,2,,,,
109328 j4i09229,GRANULOMETRY,SAND,109328,No,µm,2 - Decimal,2,,,,
109357 j4i02980,FILTRATION THRESHOLD,FILTERS AND ACCESSORIES,109357,No,µm,2 - Decimal,2,,,,
109367 j4i08312,THICKNESS,OLD PAINTING PRODUCTS,109367,No,µm,2 - Decimal,2,,,,
105385 j4i02992,REVERSE RECOVERY TIME,POWER / RECTIFICATION DIODES,105385,No,µs,2 - Decimal,2,,,,
105389 j4i02992,REVERSE RECOVERY TIME,DIODES BRIDGES,105389,No,µs,2 - Decimal,2,,,,
105397 j4i02938,SPEED,THYRISTORS AND GTOS,105397,No,µs,2 - Decimal,2,,,,
108249 j4i02992,REVERSE RECOVERY TIME,POWER / RECTIFICATION DIODES FOR PRINTED CIRCUIT BOARD,108249,No,µs,2 - Decimal,2,,,,
108437 j4i02992,REVERSE RECOVERY TIME,POWER DIODE ON SPECIFICATION,108437,No,µs,2 - Decimal,2,,,,
105005 j4i02287,RATED CURRENT,RECTIFIERS,105005,No,A,2 - Decimal,2,,,,
105013 j4i02286,OUTPUT CURRENT,CURRENT SENSORS,105013,No,A,2 - Decimal,2,,,,
105013 j4i02287,RATED CURRENT,CURRENT SENSORS,105013,No,A,2 - Decimal,2,,,,
105013 j4i03835,MINIMUM INTENSITY,CURRENT SENSORS,105013,No,A,2 - Decimal,2,,,,
105013 j4i03836,MAXIMUM INTENSITY,CURRENT SENSORS,105013,No,A,2 - Decimal,2,,,,
105015 j4i02286,OUTPUT CURRENT,TEMPERATURE SENSORS,105015,No,A,2 - Decimal,2,,,,
105016 j4i02286,OUTPUT CURRENT,PRESSURE SENSORS,105016,No,A,2 - Decimal,2,,,,
105017 j4i02286,OUTPUT CURRENT,SIGNAL SENSORS,105017,No,A,2 - Decimal,2,,,,
105021 j4i02287,RATED CURRENT,ROOF CIRCUIT BREAKERS,105021,No,A,2 - Decimal,2,,,,
105022 j4i08331,NOMINAL DISCHARGE CURRENT,LIGHTNING ARRESTORS,105022,No,A,2 - Decimal,2,,,,
105023 j4i03836,MAXIMUM INTENSITY,HIGH FREQUENCY FILTERS,105023,No,A,2 - Decimal,2,,,,
105069 j4i03791,RATED CURRENT OF CONTACTS,SUB-D CONNECTOR,105069,No,A,2 - Decimal,2,,,,
105070 j4i03791,RATED CURRENT OF CONTACTS,ELECTRONIC / VARIED CONNECTORS,105070,No,A,2 - Decimal,2,,,,
105164 j4i02287,RATED CURRENT,GENERAL-PURPOSE TERMINALS,105164,No,A,2 - Decimal,2,,,,
105175 j4i02287,RATED CURRENT,SPECIFIC DISCONNECT SWITCH,105175,No,A,2 - Decimal,2,,,,
105175 j4i03791,RATED CURRENT OF CONTACTS,SPECIFIC DISCONNECT SWITCH,105175,No,A,2 - Decimal,2,,,,
105301 j4i02287,RATED CURRENT,KEYBOARDS,105301,No,A,2 - Decimal,2,,,,
105336 j4i02287,RATED CURRENT,VARISTORS / CROWBARS,105336,No,A,2 - Decimal,2,,,,
105347 j4i02287,RATED CURRENT,INDUCTION COILS/INDUCTIVE REACTANCES,105347,No,A,2 - Decimal,2,,,,
105350 j4i02292,SECONDARY CURRENT,IMPULSE TRANSFORMERS,105350,No,A,2 - Decimal,2,,,,
105351 j4i02292,SECONDARY CURRENT,SUPPLY TRANSFORMER,105351,No,A,2 - Decimal,2,,,,
105352 j4i02292,SECONDARY CURRENT,ISOLATING TRANSFORMERS,105352,No,A,2 - Decimal,2,,,,
105356 j4i02287,RATED CURRENT,TERMINAL BLOCKS,105356,No,A,2 - Decimal,2,,,,
105385 j4i02287,RATED CURRENT,POWER / RECTIFICATION DIODES,105385,No,A,2 - Decimal,2,,,,
105387 j4i02287,RATED CURRENT,CROWBAR / PROTECTION DIODES,105387,No,A,2 - Decimal,2,,,,
105388 j4i02287,RATED CURRENT,AVALANCHE DIODES,105388,No,A,2 - Decimal,2,,,,
105389 j4i02287,RATED CURRENT,DIODES BRIDGES,105389,No,A,2 - Decimal,2,,,,
105390 j4i02287,RATED CURRENT,SCHOTTKY / SIGNALLING DIODES,105390,No,A,2 - Decimal,2,,,,
105392 j4i02287,RATED CURRENT,TWO-POLE NPN TRANSISTORS,105392,No,A,2 - Decimal,2,,,,
105393 j4i02287,RATED CURRENT,CHANNEL P TRANSISTORS,105393,No,A,2 - Decimal,2,,,,
105394 j4i02287,RATED CURRENT,TWO-POLE PNP TRANSISTORS,105394,No,A,2 - Decimal,2,,,,
105395 j4i02287,RATED CURRENT,UNIJUNCTION TRANSISTORS,105395,No,A,2 - Decimal,2,,,,
105396 j4i02287,RATED CURRENT,CHANNEL N TRANSISTORS,105396,No,A,2 - Decimal,2,,,,
105397 j4i02287,RATED CURRENT,THYRISTORS AND GTOS,105397,No,A,2 - Decimal,2,,,,
105404 j4i02287,RATED CURRENT,DISPLAY INDICATORS,105404,No,A,2 - Decimal,2,,,,
105408 j4i02287,RATED CURRENT,LEDS DISPLAYS,105408,No,A,2 - Decimal,2,,,,
105410 j4i02285,INPUT CURRENT,OPTOCOUPLERS,105410,No,A,2 - Decimal,2,,,,
105410 j4i02286,OUTPUT CURRENT,OPTOCOUPLERS,105410,No,A,2 - Decimal,2,,,,
105411 j4i02285,INPUT CURRENT,OPTIC FIBRE TRANSMITTERS,105411,No,A,2 - Decimal,2,,,,
105412 j4i02286,OUTPUT CURRENT,OPTIC FIBRE RECEIVERS,105412,No,A,2 - Decimal,2,,,,
105428 j4i02286,OUTPUT CURRENT,SENSORS ACCESSORIES,105428,No,A,2 - Decimal,2,,,,
105437 j4i02286,OUTPUT CURRENT,SPEED SENSORS,105437,No,A,2 - Decimal,2,,,,
107042 j4i02286,OUTPUT CURRENT,DISPLACEMENT SENSORS,107042,No,A,2 - Decimal,2,,,,
108248 j4i02286,OUTPUT CURRENT,POWER SUPPLY / CONVERTERS FOR PRINTED CIRCUIT BOARD,108248,No,A,2 - Decimal,2,,,,
108249 j4i02287,RATED CURRENT,POWER / RECTIFICATION DIODES FOR PRINTED CIRCUIT BOARD,108249,No,A,2 - Decimal,2,,,,
108250 j4i02287,RATED CURRENT,BUSBAR FOR PRINTED CIRCUIT BOARD,108250,No,A,2 - Decimal,2,,,,
108253 j4i03791,RATED CURRENT OF CONTACTS,CYLINDRICAL CONNECTORS FOR PRINTED CIRCUIT BOARD,108253,No,A,2 - Decimal,2,,,,
108254 j4i03791,RATED CURRENT OF CONTACTS,POWER CONNECTORS FOR PRINTED CIRCUIT BOARD,108254,No,A,2 - Decimal,2,,,,
108255 j4i03791,RATED CURRENT OF CONTACTS,DIN 41612 CONNECTORS FOR PRINTED CIRCUIT BOARD,108255,No,A,2 - Decimal,2,,,,
108258 j4i03791,RATED CURRENT OF CONTACTS,RECTANGULAR CONNECTORS FOR PRINTED CIRCUIT BOARD,108258,No,A,2 - Decimal,2,,,,
108263 j4i03791,RATED CURRENT OF CONTACTS,BISTABLE RELAYS FOR PRINTED CIRCUIT BOARD,108263,No,A,2 - Decimal,2,,,,
108264 j4i03791,RATED CURRENT OF CONTACTS,MONOSTABLE RELAYS FOR PRINTED CIRCUIT BOARD,108264,No,A,2 - Decimal,2,,,,
108267 j4i02287,RATED CURRENT,FUSES FOR PRINTED CIRCUIT BOARD,108267,No,A,2 - Decimal,2,,,,
108268 j4i02287,RATED CURRENT,FUSE HOLDERS FOR PRINTED CIRCUIT BOARD,108268,No,A,2 - Decimal,2,,,,
108405 j4i08320,RATED CURRENT,TERMINAL BLOCKS SIGNALLING,108405,No,A,2 - Decimal,2,,,,
108419 j4i03791,RATED CURRENT OF CONTACTS,RECTANGULAR CONNECTORS SIGNALLING,108419,No,A,2 - Decimal,2,,,,
108424 j4i03791,RATED CURRENT OF CONTACTS,CONTACT PLUGS FOR CONNECTORS SIGNALLING,108424,No,A,2 - Decimal,2,,,,
108428 j4i02287,RATED CURRENT,MICRO-CIRCUIT BREAKERS SIGNALLING,108428,No,A,2 - Decimal,2,,,,
108435 j4i02286,OUTPUT CURRENT,STATIC CONVERTERS,108435,No,A,2 - Decimal,2,,,,
108445 j4i02287,RATED CURRENT,SPECIFIC SWITCH,108445,No,A,2 - Decimal,2,,,,
