Item Identifier;Activity sector;Description
ABT;Study;ALSTOMTRANSPORTCHARLEROI
ALG;Infra;AlstomAlgeriaSystem&Infra–Algiers
ARE;Infra;Alstom-UnitedArabEmirates-SystemandInfra
ARS;Study;AUSTRALIARAILWAYSIGNALLING(OrganisationTIS)
ATA;Study;ATA
ATE;Service;ATEINSAMaintenanceContractsinRepublicaDominicana
ATS_UK;Study;UnitforATSusersinUK(UKBP&GIS?)
AUR;Study;RollingStockAustralia
AUS;Infra;AlstomTransport-Australia-SystemandInfra(TGS)
BAS;Service;BallaratServices
BCN;Study;ALSTOMTRANSPORTBARCELONE
BGL;Study;ALSTOMTRANSPORTBANGALORE(RollingStock),BGLBangaloreDMAserver
BLI;Infra;APACSystem&Infra-centralCLAMPrequestersteaminBangalore
BLO;Study;ALSTOMTRANSPORTBANGALORE,BLOBangaloreDMAserver
BLR;Study;ALSTOMTRANSPORTBANGALORE(RollingStock),BLRBangaloreDMAserver
BPA;Study;ALSTOMTRANSPORTSAO-PAULO(OrganisationTIS)
BPL;Study;ALSTOMTRANSPORTBRAZIL(RollingStock),LAPADMAserver
BRA;Infra;AlstomTransportBrazil(SystemandInfra)TGS
BUD;Service;TLS&C/WINBUDAPEST,HUNGARY
BUE;Study;SignallingArgentina
CAO;Study;CAOTIS(interfaceClamp-CAO)
CCA;Study;ChangchunALSTOMoffice
CHN;Infra;AlstomTransport-China-SystemandInfra(TGS)
CHS;Service;China(Services)
CIM;Study;ALSTOMTRANSPORTPETITE-FORET
CJB;Study;ALSTOMCoimbatore(Components)
CMF;Study;ALSTOMTRANSPORTMEUDON
CSH;Study;ShanghaiALSTOMoffice
CSY;Infra;ALSTOMTRANSPORTRUEILTGS
CUS;Study;ComponentsUS
DMA;Study;DMA-UNITforPartsPublishedbyDMA.
DNK;Study;Denmark(TIS)
DTR;Study;ALSTOMDIVISIONTRANSPORT
DUS;Service;USService-AcelaDepots
EES;Study;ALSTOMTRANSPORTVILLEURBANNE
EGI;Study;AlstomEgyptSignalingBusiness
EGY;Infra;Alstom-Egypt-SystemandInfra
EIT;Infra;ALSTOMTRANSPORTROME
ENL;Service;ALSTOMTRANSPORTRIDDERKERK
ESP;Study;ELECTRICALSTANDARDPROCESS-FILTERFORELECTRICALCATALOG
EV6;Study;EV6-NewPLMEV6
FBO;Study;ALSTOMTRANSPORTLECREUSOT
FEZ;Study;CablianceFès(RollingStock)
FFABT;Study;Feu-FuméesitedeCharleroi
FFBCN;Study;Feu-FuméesitedeBarcelone
FFBPA;Study;Feu-FuméesitedeSao-Paulo
FFEES;Study;Feu-FumeesitedeVilleurbannes
FFFBO;Study;Feu-FuméesiteduCreusot
FFFLO;Study;Feu-FuméesitedeBelfort
FFLHB;Study;Feu-FuméesitedeSalzgitter
FFOMG;Study;Feu-FuméesitedeStOuen
FFREI;Study;Feu-FuméesitedeReichshoffen
FFSAV;Study;Feu-FuméesitedeSavigliano
FFSES;Study;Feu-FumeesiteofSesto
FFTRA;Study;Feu-FuméesitedeAytré
FFTRO;Study;Feu-Fuméesited'Ornans
FFTRT;Study;Feu-FuméesitedeTarbes
FFTUS;Study;Feu-Fuméesited'Hornell
FFVPF;Study;Feu-FuméesitedeValenciennes
FLO;Study;ALSTOMTRANSPORTBELFORT
FRA;Infra;AlstomTransport-France-SystemandInfra(TGS)
FSE;Study;FranceServices
FUS;Service;USService-SFMTA
GIB;Service;GibelaSouthAfrican
GIV;Study;GrainValleySignallingIndustrial
GRC;Infra;AlstomTransportGreece-EngineeringSystemandInfra(TGS)
GSI;Study;UNITFORCLAMPTOGSIINTERFACE
HAN;Infra;Service&InfraHanoi
HKG;Infra;Alstom-RegionAPAC-HongKong-SystemandInfra
HKI;Study;AlstomTransportHongKong(TISOrganisation)
HST;Study;HighSpeedTrainsPlatform
HUS;Service;USService-NAMHubs
IFF;Service;ALSTOMTRANSPORTMAINT.INFRA.FRANCE
IFS;Service;ALSTOMTRANSPORTMAINT.INFRA.ESPAGNE
ILI;Study;IsraelInformationSolution(SignallingBusiness)
IND;Infra;Alstom-RegionAPAC-India-SystemandInfra
IRV;Service;French/SpanishIRVIAjointventure
ITA;Infra;AlstomTransportItaly-EngineeringSystemandInfra(TGS)
JNM;Infra;APACSystem&Infra–JaipurandMumbaiprojects
KOC;Infra;AlstomSystemandInfra–India-Kochi
KRI;Study;AlstomTransportSouthKorea(TISOrganisation)
KSA;Infra;Alstom-KingdomofSaudiArabia-SystemandInfra
LCO;Infra;Alstom-Lecco
LHB;Study;ALSTOMTRANSPORTSALZGITTER
LIM;Service;ServicePeru
LIN;Study;InfotechIndia
LLE;Service;LilleService
MAA;Infra;AlstomSystemandInfra–India-Chennai
MAD;Infra;AlstomSpainSystem&Infra
MDH;Study;ALTSOMTransportMadhepur(RollingStock)
MEA;Service;MiddleEast&AfricaRegionunit
MEX;Infra;AlstomTransportMexico-EngineeringSystemandInfraTGS
MLB;Study;MelbourneUSSignallingEngineering
MMU;Service;USService-Morristown
MNL;Infra;Manila-Philippines(System&Infra)
MOD;Service;RSCModernisation
MON;Study;ALSTOMTRANSPORTMONTREAL(OrganisationTIS)
MTR;Study;Montreal-HeadquartersCanada
NEH;Service;ALSTOMTRANSPORTSERVICENEUHAUSENSWITZERLAND
NEO;Study;ELECTRICALPLM
NLI;Study;NetherlandsInformationSolution(SignallingBusiness)
NMD;Study;NomadDigital
OFF;Study;ALSTOMTRANSPORTST-OUEN(RollingStock),OffresDMAserver
OMG;Study;OmegatStOuen
OTT;Study;Ottawa-Canada
PAN;Infra;AlstomTransport-Panama(Region
PHL;Infra;Alstom-Philippines-SystemandInfra
PLF;Service;PartsLinkFrance
PLG;Service;PartsLinkGermany
PLI;Service;ServiceItalie
PLK;Service;PartsLinkUK
PLM;Study;UNITFORCLAMPTOPLMTISandGSIINTERFACE
PLO;Service;PartsLinkAutre
PLS;Service;PartsLinkSpain
PPA;Study;ALSTOMTRANSPORTKATOWICE
PPL;Study;GenericunitforPreferedPartListManagement
QAI;Study;AlstomTransport-QatarSignalling
QAT;Infra;AlstomTransport-Qatar(Region
REI;Study;ALSTOMTRANSPORTREICHSHOFFEN
RHE;Service;Reims
RIM;Infra;RiyadhProjectfortheinterfacebetweenClampandtheERPSunSystem-TGS
ROC;Study;ALSTOMTRANSPORTROCHESTER(OrganisationTIS)
ROI;Study;RomaniaInformationSolution
