Family Classification ID,Clamp Id,Type,Level,Family Name English,Family Name French,Family Name Spanish,Family Name Italian,Family Name German,Parent information,Parent - Family Classification ID,UNSPSC information,UNSPSC - UNSPSC,Governance,Status,Created by,Created,Updated by,Last Updated,Branch Family
11,1,Branch Family,0,PLM families,Familles PLM,PLM families,PLM families,PLM families,,,,,,Active,,,,,PLM Branch
108493,j4i08493,Branch Family,1,CUBICLE,ARMOIRE,ARMARIO,ARMADIO,SCHRANK,,11,,,,Active,,,,,PLM Branch
108495,j4i08495,Leaf Family,2,EQUIPED CUBICLE,ARMOIRE EQUIPEE,ARMARIO EQUIPADO,ARMADIO EQUIPAGGIATO,SCHRANK - BESTUCKT,,108493,,43201698,Electronic Families,Active,,,,,PLM Branch
108494,j4i08494,Leaf Family,2,NUDE CUBICLE,ARMOIRE NUE,ARMARIO VACIO,ARMADIO BASE,SCHRANK - LEER,,108493,,43201697,Electronic Families,Active,,,,,PLM Branch
108497,j4i08497,Leaf Family,2,PROGRAMMED CUBICLE,ARMOIRE CONFIGUREE,ARMARIO CONFIGURADO,ARMADIO PROGRAMMATO,SCHRANK - PROGRAMMIERT,,108493,,43201699,Electronic Families,Active,,,,,PLM Branch
108496,j4i08496,Leaf Family,2,WIRED CUBICLE,ARMOIRE CABLEE,ARMARIO CABLEADO,ARMADIO CABLATO,SCHRANK - VERKABELT,,108493,,43201604,Electronic Families,Active,,,,,PLM Branch
108520,j4i08520,Branch Family,1,ELECTRICAL PART,ELEMENT ELECTRIQUE,ELEMENTO ELECTRICO,ELEMENTI ELETTRICO,ELEKTRISCHES ELEMENTE,,11,,,,Active,,,,,PLM Branch
108531,j4i08531,Leaf Family,2,ELECTRIC MOTOR,MOTEUR ELECTRIQUE,MOTOR ELECTRICO,MOTORE ELETTRICO,ELEKTRISCHER MOTOR,,108520,,26950000,Electronic Families,Active,,,,,PLM Branch
108522,j4i08522,Leaf Family,2,ELECTRICAL ACCESSORIES,ACCESSOIRES ELECTRIQUES,ACCESORIOS ELECTRICOS,ACCESSORI ELETTRICI,ELEKTRISCHES ZUBEHOR,,108520,,26970000,Electronic Families,Active,,,,,PLM Branch
108521,j4i08521,Leaf Family,2,ELECTRICAL SUBASSEMBLY,SOUS ENSEMBLE ELECTRIQUE,SUBELEMENTO ELECTRICO,SOTTOASSIEME  ELETTRICO,ELEKTRISCHER SUBTEIL,,108520,,26960000,Electronic Families,Active,,,,,PLM Branch
108523,j4i08523,Branch Family,1,ELECTROMECHANICAL,ELEMENT ELECTRO-MECANIQUE,ELEMENTO ELECTROMECANICO,ELEMENTI ELETTROMECCANICI,ELEKTROMECHANISCHES ELEMENT,,11,,,,Active,,,,,PLM Branch
108527,j4i08527,Leaf Family,2,ELECTROMECHANICAL ACCESSORIES,ACCESSOIRES ELECTRO-MECANIQUES,ACCESORIOS ELECTROMECANICOS,ACCESSORIO ELETTROMECCANICO,ELEKTROMECHANISCHES ZUBEHOR,,108523,,26990000,Electronic Families,Active,,,,,PLM Branch
108524,j4i08524,Leaf Family,2,ELECTROMECHANICAL SUB-PART,SOUS ELEMENT ELECTRO-MECANIQUE,SUBMODULO ELECTROMECANICO,SOTTO-ELEMENTO ELETTROMECCANICO,ELEKTROMECHANISCHE UNTERBAUGRUPPE,,108523,,26980000,Electronic Families,Active,,,,,PLM Branch
108511,j4i08511,Branch Family,1,ELECTRONIC BOARD,CARTE ELECTRONIQUE,TARJETA ELECTRONICO,SCHEDE ELETTRONICO,ELEKTRONISCHE KARTE,,11,,,,Active,,,,,PLM Branch
108513,j4i08513,Leaf Family,2,ASSEMBLED BOARD,CARTE EQUIPEE,TARJETA EQUIPADA,SCHEDA MONTATA,LEITERPLATTE - BESTTUCKT,,108511,,43201597,Electronic Families,Active,,,,,PLM Branch
108512,j4i08512,Leaf Family,2,PCB (NUDE BOARD),CIRCUIT IMPRIME NU,PCB (SIN COMPONENTES),CIRCUITO STAMPATO,LEITERPLATTE - UNBESTUCKT,,108511,,43201596,Electronic Families,Active,,,,,PLM Branch
108514,j4i08514,Leaf Family,2,PLUG-IN BLOCK,BLOC ENFICHABLE,PLUG-IN BLOCK,CASSETTO,EINSCHUBKARTE,,108511,,43201598,Electronic Families,Active,,,,,PLM Branch
108515,j4i08515,Leaf Family,2,PROGRAMMED PLUG-IN BLOCK,BLOC ENFICHABLE CONFIGURE,PLUG-IN BLOCK CONFIGURADO,CASSETTO PROGRAMMATO,BLOCKE PLUG-IN - PROGRAMMIERT,,108511,,43201599,Electronic Families,Active,,,,,PLM Branch
108504,j4i08504,Branch Family,1,ELECTRONIC MODULE,MODULE ELECTRONIQUE,MODULO ELECTRONICO,MODULO ELETTRONICO,ELEKTRONISCHER MODUL,,11,,,,Active,,,,,PLM Branch
108526,j4i08526,Leaf Family,2,ELECTROMECHANICAL MODULE,MODULE ELECTROMECANIQUE,MODULO ELECTROMECANICO,MODULO ELETTROMECCANICO,ELEKTROMECHANISCHES MODUL,,108504,,32890000,Electronic Families,Active,,,,,PLM Branch
108510,j4i08510,Leaf Family,2,ELECTRONICAL ACCESSORIES,ACCESSOIRES ELECTRONIQUES,ACCESORIOS ELECTRONICO,ACCESSORIO ELETTRONICO,ELEKTRONISCHE ZUBEHOR,,108504,,32990000,Electronic Families,Active,,,,,PLM Branch
108506,j4i08506,Leaf Family,2,EQUIPPED MODULE,MODULE EQUIPE,MODULO EQUIPADO,MODULO EQUIPAGGIATO,MODUL - BESTUCKT,,108504,,32930000,Electronic Families,Active,,,,,PLM Branch
108509,j4i08509,Leaf Family,2,MODULE FRAME,SUPPORT MODULE,SOPORTE PARA MODULO,STRUTTURA MODULO,MODULHALTER,,108504,,32910000,Electronic Families,Active,,,,,PLM Branch
108505,j4i08505,Leaf Family,2,NUDE MODULE,MODULE NU,MODULO VACIO,MODULO BASE,MODUL - LEER,,108504,,32920000,Electronic Families,Active,,,,,PLM Branch
108508,j4i08508,Leaf Family,2,PROGRAMMED MODULE,MODULE CONFIGURE,MODULO CONFIGURADO,MODULO PROGRAMMATO,MODUL - PROGRAMMIERT,,108504,,32940000,Electronic Families,Active,,,,,PLM Branch
108507,j4i08507,Leaf Family,2,WIRED MODULE,MODULE CABLEE,MODULO CABLEADO,MODULO CABLATO,MODUL - VERKABELT,,108504,,32950000,Electronic Families,Active,,,,,PLM Branch
108516,j4i08516,Branch Family,1,MECHANICAL PART,ELEMENT MECANIQUE,ELEMENTO MECANICO,ELEMENTI MECCANICI,MECHANISCHE BAUGRUPPE,,11,,,,Active,,,,,PLM Branch
108519,j4i08519,Leaf Family,2,MECHANICAL ACCESSORIES,ACCESSOIRES MECANIQUES,ACCESORIOS MECANICOS,ACCESSORIO MECCANICO,MECHANISCHES ZUBEHOR,,108516,,23159900,Electronic Families,Active,,,,,PLM Branch
108529,j4i08529,Leaf Family,2,MECHANICAL PART ON DRAWING,PIECE MECANIQUE SUR PLAN,PIEZA MECANICA SOBRE PLANO,ELEMENTO MECCANICO A DISEGNO,MECHANISCHES STUCK AUF ZEICHNEN,,108516,,23159700,Electronic Families,Active,,,,,PLM Branch
108517,j4i08517,Leaf Family,2,MECHANICAL SUB-PART,SOUS ELEMENT MECANIQUE,SUBMODULO MECANICO,SOTTO-ELEMENTO MECCANICO,MECHANISCHE UNTERBAUGRUPPE,,108516,,23159800,Electronic Families,Active,,,,,PLM Branch
108498,j4i08498,Branch Family,1,RACK,TIROIR,CAJON,CASSETTO,EINSCHUB,,11,,,,Active,,,,,PLM Branch
108500,j4i08500,Leaf Family,2,EQUIPPED RACK,TIROIR EQUIPE,RACK EQUIPADO,CESTELLO EQUIPAGGIATO,EINSCHUB - BESTUCKT,,108498,,24102093,Electronic Families,Active,,,,,PLM Branch
